id,Sweet,Sour,Texture,Sparkling,Localisation-kr,lat,lng,pourcent,Ingredients,Description,link,Fruit/vegetable,Nuts,name_kr,name,Ingredients_kr,description_kr,Localisation,image,region,region_kr,status
1,0,0,0,0,광화문 (서울),37.5722910442,126.972874442,N/A,Rice,N/A,N/A,No,No,Gwanghwamun makgeolli,Gwanghwamun makgeolli,쌀,N/A,gwanhwamun (Seoul),https://res.cloudinary.com/dhwup3tvm/image/upload/v1739478883/MakgeolliGuru/image_bottle/mw7yk8ms4anrgobvdfgf.png,Seoul,서울특별시,N/A
2,1,5,3,2,느린마을 (강남/ 양조장/ 건국대/ 홍대/ 연남/ 대구),37.5084309,127.0816477,6%,Rice/ Yeast,"Brewing at the restaurant during 1 day,",http://www.slowbrewpub.com/,No,No,Spring makgeolli,Spring makgeolli,쌀/효모,1일 동안 식당에서 숙성,Neurin Maeul (Gangnam/ yangjojang/ konkguk univ./ hongdae/ yeonnam / Daegu),https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830574/274915006_1361299807633233_2425759626131837285_n_uxzynh.png,Seoul,서울특별시,N/A
3,1,3,3,4,느린마을 (강남/ 양조장/ 건국대/ 홍대/ 연남/ 대구),37.5452836,127.1045323,6%,Rice/ Yeast,"Brewing at the restaurant during 4 days,",http://www.slowbrewpub.com/,No,No,Summer makgeolli,Summer makgeolli,쌀/효모,4일 동안 식당에서 숙성,Neurin Maeul (Gangnam/ yangjojang/ konkguk univ./ hongdae/ yeonnam / Daegu),https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829403/340848876_3343078202650353_5372180826072404891_n_pwuaki_gqfikt.png,Seoul,서울특별시,N/A
4,3,2,3,5,느린마을 (강남/ 양조장/ 건국대/ 홍대/ 연남/ 대구),37.5550706,126.9238249,6%,Rice/ Yeast,"Brewing at the restaurant during 7 days,",http://www.slowbrewpub.com/,No,No,Autumn makgeolli,Autumn makgeolli,쌀/효모,7일 동안 식당에서 숙성,Neurin Maeul (Gangnam/ yangjojang/ konkguk univ./ hongdae/ yeonnam / Daegu),https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829402/271383155_228656356099917_8060124499584044185_n_iqjw3m_mqnjse.png,Seoul,서울특별시,N/A
5,3,1,3,4,느린마을 (강남/ 양조장/ 건국대/ 홍대/ 연남/ 대구),37.55438,126.90926,6%,Rice/ Yeast,Brewing at the restaurant during 10 days.,http://www.slowbrewpub.com/,No,No,Winter makgeolli,Winter makgeolli,쌀/효모,10일 동안 식당에서 숙성,Neurin Maeul (Gangnam/ yangjojang/ konkguk univ./ hongdae/ yeonnam / Daegu),https://res.cloudinary.com/dhwup3tvm/image/upload/v1742830568/297880968_142886308426887_1767825558113121160_n_fi6ysa.png,Seoul,서울특별시,N/A
6,2,4,4,4,제주도,33.3939924,126.5626653,6%,Rice/ Mandarin,"Representative makgeolli from Jeju. Due to packaging, it is called Pink Makgeolli. Not sweet, with a strong sour taste. It pairs well with seafood.",jejumakgeolli.com,Yes,No,제주 쌀막걸리,Jeju salmakgeolli,쌀/만다린,제주지역의 대표 막걸리. 포장 탓에 핑크막걸리로 불린다. 달지않고 신맛이 강하다. 탁하지 않은 풍미로 해산물과 잘 어울린다,jeju island ,N/A,Jeju,제주특별자치도,N/A
7,3,3,4,3,우도,33.5072572,126.9550015,6%,Rice/ peanut /hallabong,N/A,N/A,Yes,Yes,Udo makgeolli,Udo makgeolli,쌀/호두/한라봉,N/A,udo island,https://res.cloudinary.com/dhwup3tvm/image/upload/t_removebackCrop/v1742830579/479499611_18013237151686379_2512884399592326907_n_evwf7p.png,Jeju,제주특별자치도,N/A
8,4,3,2,2,우포의아침,35.5428,128.45398,6%,Rice,Clean aroma and smooth finish.,N/A,No,No,우포생막걸리,Ufo saengmakgeolli,쌀,향이 깔끔하고 목넘김이 좋다,Upo Morning Brewery,N/A,Gyeongsangbuk-do,경상북도,N/A
9,1,5,5,4,금정산성토산주,35.25863,129.0901,8%,Rice,"Designated as Traditional Liquor No. 1, with an exceptionally robust body. Recommended to age for 2–3 days or more.",https://sanmak.kr/,No,No,금정산성막걸리,Geumjungsanseong makgeolli,쌀,전통주 지정 1호. 묵직한 바디감이 일품. 2~3일 이상 숙성 추천,Geumjeong Fortress Traditional Liquor,N/A,Busan,부산광역시,N/A
10,2,3,1,2,부산합동양조,35.1799528,129.0752365,6%,Rice,"Representative makgeolli of Busan/Gyeongnam, enjoyable for its sparkling freshness, can be consumed lightly.",N/A,No,No,부산 생탁,Busan saengtak,쌀,부산/경남의 대표막걸리. 탄산의 청량감이 좋아 가볍게 즐길 수 있다,Busan Cooperative Brewery,https://res.cloudinary.com/dhwup3tvm/image/upload/v1742829402/296636743_1259415101522255_7588482385322425403_n_pe4sup_bqjigj.png,Busan,부산광역시,N/A
11,3,1,1,1,영덕주조,36.4149,129.3659,6%,Rice/ turmeric,"Unique aroma of turmeric that tingles in the mouth, leaving a long-lasting aftertaste even after drinking.",N/A,No,No,울금 정 막걸리,Ulgeum jeong makgeolli,쌀/울금,입안에 맵도는 울금 특유의 울고 향. 마시고 난 후에도 오랫동안 여운을 준다,Yeongdeok Brewery,N/A,Gyeongsangbuk-do,경상북도,N/A
12,2,2,2,2,대구탁주합동,35.8713,128.6018,6%,Rice,"Representative makgeolli of Daegu, rich in yeast and characterized by its unique savory taste.",N/A,No,No,대구 불로 막걸리,Daegu bullo makgeolli,쌀,대구지역의 대표막걸리. 효모가 풍부하게 살아있고 특유의 감칠맛이 특징.,Daegu Takju Cooperative,N/A,Daegu,대구광역시,N/A
